frame_id,track_id,x_center,y_center,width,height,confidence,class_name,x1,y1,x2,y2
4,9,461.9967041015625,252.05636596679688,49.826294,80.40936,0.83281904,player,437.08356,211.85168,486.90985,292.26105
4,10,955.716552734375,380.548095703125,47.196533,83.78909,0.803326,player,932.1183,338.65356,979.3148,422.44266
4,11,1167.782958984375,306.13800048828125,41.817505,82.997406,0.82197875,player,1146.8743,264.6393,1188.6918,347.63672
4,12,1015.2144165039062,262.42901611328125,30.78601,82.93875,0.78256136,player,999.8214,220.95966,1030.6074,303.8984
4,13,731.1448364257812,509.5658264160156,55.17273,108.828674,0.7429264,referee,703.5585,455.1515,758.7312,563.98016
4,14,876.446533203125,242.7491455078125,45.27484,81.04443,0.7992745,player,853.8091,202.22693,899.0839,283.27136
4,15,1178.50537109375,143.2140350341797,31.94873,66.933716,0.8059452,player,1162.531,109.74718,1194.4797,176.6809
4,16,428.01171875,172.25100708007812,39.302277,59.4178,0.74748135,player,408.36057,142.5421,447.66284,201.9599
4,17,246.36708068847656,73.05655670166016,43.23581,66.82172,0.73899704,referee,224.74918,39.645695,267.985,106.467415
4,18,896.69189453125,320.52020263671875,44.69171,79.0683,0.73948824,player,874.346,280.98605,919.0377,360.05435
5,1,1187.60302734375,830.4598388671875,57.562134,137.96472,0.89727193,player,1158.8219,761.4775,1216.384,899.4422
5,2,1487.967529296875,599.8225708007812,56.412476,107.45532,0.7417986,referee,1459.7612,546.0949,1516.1737,653.55023
5,3,1043.7994384765625,459.734130859375,48.51416,97.73956,0.8701946,player,1019.54236,410.86435,1068.0565,508.6039
5,4,633.8497314453125,613.0221557617188,61.20862,105.439575,0.83863556,player,603.2454,560.30237,664.45404,665.74194
5,5,597.63525390625,448.8307800292969,65.924866,102.5636,0.85702133,player,564.6728,397.54898,630.59766,500.11258
5,6,1418.017578125,390.2389221191406,41.16284,99.571106,0.82195264,player,1397.4362,340.45337,1438.599,440.02448
5,7,1763.140869140625,348.11309814453125,37.76013,98.30081,0.83621687,player,1744.2607,298.9627,1782.0209,397.26352
5,8,503.36395263671875,342.5545959472656,41.25186,93.75751,0.8243536,player,482.738,295.67584,523.98987,389.43335
5,9,462.4388427734375,250.27493286132812,51.127167,83.32257,0.82507527,player,436.87524,208.61365,488.0024,291.93622
5,10,950.0401611328125,380.86676025390625,47.721375,84.44791,0.73140115,player,926.1795,338.64282,973.9009,423.09073
5,11,1164.55908203125,306.4339599609375,41.783203,83.69577,0.7992093,player,1143.6675,264.58606,1185.4507,348.28183
5,12,1022.08642578125,261.9141540527344,30.672424,82.58763,0.73845804,player,1006.7502,220.62035,1037.4226,303.20798
5,13,728.069091796875,507.8370666503906,55.36389,107.26117,0.7510548,referee,700.38715,454.20648,755.75104,561.46765
5,14,875.54150390625,244.6407470703125,45.03296,80.75409,0.69782454,player,853.025,204.2637,898.058,285.0178
5,15,1181.0306396484375,142.1248779296875,32.317627,65.991806,0.7991723,player,1164.8718,109.12897,1197.1895,175.12077
5,16,430.0634460449219,173.18959045410156,41.819275,62.731598,0.7498035,player,409.1538,141.82379,450.97308,204.55539
5,17,253.43319702148438,72.02601623535156,43.01483,66.53157,0.693612,referee,231.92578,38.760227,274.9406,105.2918
5,18,895.6014404296875,319.489501953125,42.414246,75.0762,0.6787746,player,874.3943,281.9514,916.80853,357.0276
6,1,1191.9859619140625,830.0680541992188,57.180664,137.94763,0.86900437,player,1163.3956,761.09424,1220.5763,899.0419
6,2,1483.5263671875,598.644287109375,55.642456,107.855225,0.6906335,player,1455.7052,544.7167,1511.3477,652.5719
6,3,1043.814453125,460.822265625,47.829712,95.88492,0.8174228,player,1019.89966,412.8798,1067.7294,508.7647
6,4,634.181884765625,609.3619384765625,61.089905,105.17169,0.88710016,player,603.63696,556.77606,664.72687,661.94775
6,5,596.998291015625,447.26019287109375,65.171875,102.144196,0.8605475,player,564.41235,396.1881,629.5842,498.3323
6,6,1418.648193359375,389.1695556640625,41.593384,97.949554,0.8619856,player,1397.8514,340.1948,1439.4448,438.14435
6,7,1766.530517578125,347.89324951171875,37.49231,96.85239,0.8679625,player,1747.7843,299.46707,1785.2766,396.31946
6,8,508.847900390625,342.40179443359375,41.760773,93.60721,0.835222,player,487.9675,295.59818,529.7283,389.20538
6,9,462.9193115234375,248.5550537109375,51.242157,84.780075,0.8315597,player,437.29822,206.16502,488.54037,290.9451
6,10,945.72265625,381.85418701171875,47.101624,83.75879,0.78016484,player,922.1718,339.9748,969.27344,423.73358
6,11,1160.856201171875,305.4708557128906,40.930054,83.49884,0.8496646,player,1140.3911,263.72144,1181.3212,347.22028
6,12,1028.511474609375,262.05474853515625,30.258606,81.7099,0.78686756,player,1013.38214,221.1998,1043.6407,302.9097
6,13,725.7344970703125,508.6862487792969,57.572937,108.88434,0.78498477,referee,696.94806,454.24408,754.521,563.1284
6,14,871.5404663085938,244.4861297607422,46.01294,83.71127,0.7173744,player,848.534,202.6305,894.54694,286.34177
6,15,1182.556640625,142.19566345214844,33.777344,67.662415,0.7971833,player,1165.668,108.364456,1199.4453,176.02687
6,16,429.8392333984375,171.24192810058594,41.49814,61.91507,0.6170138,player,409.09018,140.2844,450.58832,202.19946
6,17,258.2355041503906,71.70156860351562,43.717224,67.48491,0.6633157,referee,236.37689,37.95911,280.09412,105.44402
6,18,891.221923828125,320.91571044921875,42.296936,74.15109,0.6324001,player,870.0734,283.84015,912.37036,357.99124
7,1,1195.86328125,830.0557861328125,56.710083,137.34058,0.88020456,player,1167.5083,761.3855,1224.2184,898.7261
7,2,1481.1712646484375,597.3074951171875,56.145264,109.32501,0.68422097,referee,1453.0986,542.645,1509.2439,651.97003
7,3,1040.70556640625,462.5167541503906,48.02832,97.64984,0.8638599,player,1016.6914,413.69183,1064.7197,511.34167
7,4,632.7817993164062,604.8453369140625,59.940918,102.61194,0.8800876,player,602.81134,553.53937,662.75226,656.1513
7,5,598.9252319335938,444.8043518066406,63.280884,98.99945,0.8686456,player,567.2848,395.30463,630.5657,494.30408
7,6,1420.167724609375,389.4205322265625,41.867798,96.99124,0.8270026,player,1399.2338,340.92493,1441.1016,437.91617
7,7,1770.2548828125,348.08270263671875,37.349365,96.51065,0.80978125,player,1751.5802,299.82736,1788.9296,396.338
7,8,514.3236083984375,340.4296875,41.706635,92.43259,0.81323755,player,493.4703,294.2134,535.17694,386.646
7,9,465.1084289550781,246.75921630859375,49.62451,83.65944,0.82859886,player,440.29617,204.92949,489.9207,288.58893
7,10,940.29248046875,381.87847900390625,47.226257,84.891266,0.83285457,player,916.6793,339.43286,963.9056,424.32413
7,11,1159.93994140625,304.4021911621094,41.581177,85.7973,0.86365443,player,1139.1494,261.50354,1180.7306,347.30084
7,12,1034.9656982421875,261.7804870605469,31.16211,84.37254,0.7789122,player,1019.38464,219.59422,1050.5468,303.96677
7,13,718.1304931640625,509.9292297363281,58.11139,110.310486,0.50008583,referee,689.0748,454.774,747.1862,565.0845
7,14,870.0281982421875,243.16403198242188,46.46826,85.2906,0.72808427,player,846.79407,200.51872,893.2623,285.80933
7,15,1182.74462890625,141.810302734375,33.09265,65.72975,0.77851385,player,1166.1982,108.94542,1199.2909,174.67517
7,16,429.9635314941406,171.910888671875,42.93457,64.368515,0.7333127,player,408.49625,139.72664,451.43082,204.09515
7,17,265.2815246582031,72.31391906738281,42.818466,65.86259,0.57589036,referee,243.8723,39.38263,286.69077,105.24522
7,18,888.4429931640625,320.9096374511719,43.955566,77.1734,0.36891645,player,866.4652,282.32294,910.4208,359.49634
7,19,1482.2706298828125,597.1620483398438,41.692383,109.96155,0.6088353,player,1461.4244,542.1813,1503.1168,652.1428
8,1,1200.043701171875,829.3212280273438,56.574097,137.18689,0.90288377,player,1171.7566,760.7278,1228.3307,897.9147
8,2,1480.79296875,594.0335083007812,56.5,109.457886,0.85563266,referee,1452.543,539.30457,1509.043,648.76245
8,3,1039.96142578125,461.96490478515625,47.40985,98.436066,0.8697046,player,1016.25653,412.7469,1063.6664,511.18295
